Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
851,10205	2,12425	0,78459	851,10205	2,17052	0,68327	851,10205	2,50444	0,60333
852,66718	2,12601	0,78689	852,66718	2,1717	0,68556	852,66718	2,50541	0,60482
854,23212	2,12778	0,78918	854,23212	2,17289	0,68783	854,23212	2,5064	0,60631
855,79706	2,12957	0,79144	855,79706	2,1741	0,69009	855,79706	2,50739	0,6078
857,36182	2,13137	0,79368	857,36182	2,17533	0,69234	857,36182	2,5084	0,60927
858,92645	2,13319	0,7959	858,92645	2,17657	0,69458	858,92645	2,50941	0,61074
860,49103	2,13502	0,79809	860,49103	2,17782	0,69681	860,49103	2,51044	0,61221
862,05548	2,13686	0,80027	862,05548	2,17909	0,69902	862,05548	2,51148	0,61366
863,61975	2,13871	0,80243	863,61975	2,18038	0,70122	863,61975	2,51252	0,61511
865,1839	2,14058	0,80456	865,1839	2,18168	0,70341	865,1839	2,51358	0,61655
866,74793	2,14246	0,80667	866,74793	2,18299	0,70558	866,74793	2,51465	0,61799
868,31189	2,14435	0,80876	868,31189	2,18432	0,70774	868,31189	2,51572	0,61942
869,87567	2,14625	0,81083	869,87567	2,18566	0,70989	869,87567	2,51681	0,62084
871,43933	2,14816	0,81288	871,43933	2,18702	0,71203	871,43933	2,5179	0,62225
873,00293	2,15009	0,81491	873,00293	2,18839	0,71415	873,00293	2,51901	0,62366
874,56641	2,15202	0,81692	874,56641	2,18977	0,71626	874,56641	2,52012	0,62506
876,1297	2,15396	0,8189	876,1297	2,19117	0,71835	876,1297	2,52124	0,62646
877,69287	2,15592	0,82086	877,69287	2,19257	0,72044	877,69287	2,52237	0,62784
879,25598	2,15788	0,82281	879,25598	2,194	0,72251	879,25598	2,52351	0,62922
880,81897	2,15986	0,82473	880,81897	2,19543	0,72456	880,81897	2,52466	0,6306
882,38171	2,16184	0,82662	882,38171	2,19688	0,7266	882,38171	2,52582	0,63196
883,94446	2,16383	0,8285	883,94446	2,19834	0,72863	883,94446	2,52698	0,63332
885,50702	2,16583	0,83036	885,50702	2,19981	0,73065	885,50702	2,52816	0,63467
887,06946	2,16784	0,83219	887,06946	2,20129	0,73265	887,06946	2,52934	0,63602
888,63171	2,16985	0,834	888,63171	2,20279	0,73464	888,63171	2,53053	0,63736
890,19397	2,17188	0,83579	890,19397	2,20429	0,73662	890,19397	2,53173	0,63869
891,75598	2,17391	0,83756	891,75598	2,20581	0,73858	891,75598	2,53294	0,64001
893,31787	2,17595	0,83931	893,31787	2,20734	0,74053	893,31787	2,53416	0,64133
894,8797	2,17799	0,84104	894,8797	2,20888	0,74246	894,8797	2,53538	0,64264
896,44128	2,18004	0,84274	896,44128	2,21043	0,74438	896,44128	2,53661	0,64394
898,00281	2,1821	0,84443	898,00281	2,21199	0,74629	898,00281	2,53785	0,64524
899,56427	2,18417	0,84609	899,56427	2,21356	0,74818	899,56427	2,5391	0,64652
901,12561	2,18624	0,84773	901,12561	2,21515	0,75006	901,12561	2,54035	0,64781
902,68671	2,18832	0,84935	902,68671	2,21674	0,75192	902,68671	2,54162	0,64908
904,24768	2,1904	0,85095	904,24768	2,21834	0,75378	904,24768	2,54289	0,65035
905,80859	2,19248	0,85253	905,80859	2,21995	0,75561	905,80859	2,54416	0,65161
907,36932	2,19458	0,85408	907,36932	2,22158	0,75744	907,36932	2,54545	0,65286
908,92987	2,19667	0,85562	908,92987	2,22321	0,75925	908,92987	2,54674	0,65411
910,49036	2,19878	0,85713	910,49036	2,22485	0,76104	910,49036	2,54804	0,65534
912,05066	2,20088	0,85863	912,05066	2,2265	0,76283	912,05066	2,54934	0,65658
913,61096	2,20299	0,8601	913,61096	2,22816	0,7646	913,61096	2,55066	0,6578
915,17102	2,2051	0,86155	915,17102	2,22982	0,76635	915,17102	2,55198	0,65902
916,73096	2,20722	0,86298	916,73096	2,2315	0,76809	916,73096	2,5533	0,66023
918,29071	2,20934	0,86439	918,29071	2,23318	0,76982	918,29071	2,55464	0,66143
919,8504	2,21146	0,86578	919,8504	2,23488	0,77153	919,8504	2,55598	0,66262
921,40985	2,21359	0,86715	921,40985	2,23658	0,77323	921,40985	2,55732	0,66381
922,96936	2,21572	0,8685	922,96936	2,23829	0,77491	922,96936	2,55868	0,66499
924,5285	2,21785	0,86983	924,5285	2,24	0,77658	924,5285	2,56004	0,66617
926,08759	2,21998	0,87113	926,08759	2,24173	0,77824	926,08759	2,5614	0,66734
927,64661	2,22212	0,87242	927,64661	2,24346	0,77988	927,64661	2,56277	0,66849
929,20544	2,22426	0,87369	929,20544	2,2452	0,78151	929,20544	2,56415	0,66965
930,76416	2,22639	0,87493	930,76416	2,24695	0,78312	930,76416	2,56554	0,67079
932,32263	2,22853	0,87616	932,32263	2,2487	0,78472	932,32263	2,56693	0,67193
933,88104	2,23068	0,87736	933,88104	2,25046	0,78631	933,88104	2,56833	0,67306
935,43933	2,23282	0,87855	935,43933	2,25223	0,78788	935,43933	2,56973	0,67418
936,99744	2,23496	0,87972	936,99744	2,254	0,78944	936,99744	2,57114	0,6753
938,55548	2,2371	0,88086	938,55548	2,25578	0,79098	938,55548	2,57255	0,67641
940,11328	2,23925	0,88199	940,11328	2,25757	0,79252	940,11328	2,57397	0,67751
941,67102	2,24139	0,8831	941,67102	2,25936	0,79403	941,67102	2,5754	0,67861
943,22864	2,24353	0,88418	943,22864	2,26116	0,79553	943,22864	2,57683	0,67969
944,78601	2,24568	0,88525	944,78601	2,26296	0,79702	944,78601	2,57827	0,68077
946,34326	2,24782	0,8863	946,34326	2,26477	0,7985	946,34326	2,57971	0,68185
947,90039	2,24996	0,88733	947,90039	2,26659	0,79996	947,90039	2,58116	0,68291
949,45734	2,2521	0,88834	949,45734	2,26841	0,8014	949,45734	2,58261	0,68397
951,01416	2,25424	0,88933	951,01416	2,27024	0,80284	951,01416	2,58407	0,68502
952,57092	2,25638	0,8903	952,57092	2,27207	0,80426	952,57092	2,58553	0,68606
954,12744	2,25852	0,89125	954,12744	2,27391	0,80566	954,12744	2,587	0,6871
955,68378	2,26065	0,89219	955,68378	2,27575	0,80705	955,68378	2,58848	0,68813
957,24005	2,26279	0,8931	957,24005	2,27759	0,80843	957,24005	2,58996	0,68915
958,7962	2,26492	0,894	958,7962	2,27944	0,80979	958,7962	2,59144	0,69017
960,35217	2,26705	0,89487	960,35217	2,2813	0,81114	960,35217	2,59293	0,69117
961,9079	2,26918	0,89573	961,9079	2,28316	0,81248	961,9079	2,59443	0,69217
963,46356	2,2713	0,89658	963,46356	2,28502	0,8138	963,46356	2,59592	0,69317
965,01904	2,27343	0,8974	965,01904	2,28689	0,81511	965,01904	2,59743	0,69415
966,5744	2,27555	0,8982	966,5744	2,28876	0,81641	966,5744	2,59894	0,69513
968,12958	2,27766	0,89899	968,12958	2,29064	0,81769	968,12958	2,60045	0,6961
969,68469	2,27978	0,89976	969,68469	2,29252	0,81895	969,68469	2,60197	0,69707
971,23956	2,28189	0,90051	971,23956	2,2944	0,82021	971,23956	2,60349	0,69802
972,79431	2,28399	0,90124	972,79431	2,29629	0,82145	972,79431	2,60502	0,69897
974,34894	2,2861	0,90196	974,34894	2,29817	0,82268	974,34894	2,60655	0,69991
975,90332	2,2882	0,90266	975,90332	2,30007	0,82389	975,90332	2,60808	0,70085
977,45764	2,29029	0,90334	977,45764	2,30196	0,82509	977,45764	2,60962	0,70178
979,01184	2,29239	0,904	979,01184	2,30386	0,82628	979,01184	2,61117	0,7027
980,5658	2,29447	0,90465	980,5658	2,30576	0,82745	980,5658	2,61271	0,70361
982,11963	2,29656	0,90528	982,11963	2,30767	0,82861	982,11963	2,61427	0,70452
983,67322	2,29864	0,90589	983,67322	2,30957	0,82976	983,67322	2,61582	0,70541
985,22675	2,30071	0,90649	985,22675	2,31148	0,83089	985,22675	2,61738	0,70631
986,78015	2,30278	0,90707	986,78015	2,31339	0,83201	986,78015	2,61895	0,70719
988,33337	2,30485	0,90763	988,33337	2,31531	0,83312	988,33337	2,62052	0,70807
989,88641	2,30691	0,90818	989,88641	2,31722	0,83421	989,88641	2,62209	0,70894
991,43927	2,30896	0,90871	991,43927	2,31914	0,83529	991,43927	2,62366	0,7098
992,992	2,31101	0,90922	992,992	2,32106	0,83636	992,992	2,62524	0,71065
994,54462	2,31306	0,90972	994,54462	2,32298	0,83741	994,54462	2,62683	0,7115
996,09699	2,31509	0,9102	996,09699	2,3249	0,83845	996,09699	2,62841	0,71234
997,64929	2,31713	0,91067	997,64929	2,32682	0,83948	997,64929	2,63	0,71318
999,20136	2,31916	0,91112	999,20136	2,32875	0,8405	999,20136	2,6316	0,714
			997,64929			997,64929		
			999,20136			999,20136		
