Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
481,01068	2,41227	0,41848	481,01068	2,45623	0,50117	481,01068	2,71405	0,63373
482,59106	2,41018	0,41579	482,59106	2,45536	0,49734	482,59106	2,71417	0,62761
484,17145	2,40806	0,41315	484,17145	2,45443	0,49357	484,17145	2,71418	0,62157
485,7518	2,4059	0,41056	485,7518	2,45344	0,48984	485,7518	2,71408	0,61563
487,33218	2,40372	0,40802	487,33218	2,45241	0,48618	487,33218	2,71388	0,60977
488,91254	2,4015	0,40554	488,91254	2,45131	0,48256	488,91254	2,71357	0,60401
490,49286	2,39925	0,40312	490,49286	2,45017	0,479	490,49286	2,71316	0,59835
492,07315	2,39698	0,40075	492,07315	2,44898	0,47549	492,07315	2,71265	0,59278
493,65347	2,39468	0,39843	493,65347	2,44773	0,47204	493,65347	2,71205	0,5873
495,23373	2,39234	0,39616	495,23373	2,44644	0,46864	495,23373	2,71137	0,58191
496,81403	2,38999	0,39395	496,81403	2,4451	0,4653	496,81403	2,71059	0,57663
498,39423	2,3876	0,39179	498,39423	2,44372	0,46202	498,39423	2,70974	0,57143
499,97452	2,3852	0,38969	499,97452	2,44229	0,45878	499,97452	2,70881	0,56633
501,55469	2,38276	0,38763	501,55469	2,44082	0,45561	501,55469	2,7078	0,56133
503,13492	2,38031	0,38563	503,13492	2,4393	0,45249	503,13492	2,70672	0,55642
504,71509	2,37783	0,38369	504,71509	2,43775	0,44942	504,71509	2,70556	0,55161
506,29526	2,37533	0,38179	506,29526	2,43615	0,44641	506,29526	2,70435	0,54689
507,8754	2,3728	0,37995	507,8754	2,43452	0,44345	507,8754	2,70306	0,54226
509,45551	2,37026	0,37816	509,45551	2,43284	0,44055	509,45551	2,70172	0,53773
511,03558	2,3677	0,37643	511,03558	2,43114	0,43771	511,03558	2,70032	0,53329
512,61566	2,36512	0,37474	512,61566	2,42939	0,43492	512,61566	2,69886	0,52894
514,19574	2,36252	0,37311	514,19574	2,42761	0,43218	514,19574	2,69736	0,52469
515,77576	2,3599	0,37153	515,77576	2,4258	0,4295	515,77576	2,6958	0,52053
517,35584	2,35726	0,37	517,35584	2,42396	0,42687	517,35584	2,69419	0,51646
518,93579	2,35461	0,36853	518,93579	2,42208	0,4243	518,93579	2,69253	0,51248
520,51575	2,35194	0,3671	520,51575	2,42018	0,42179	520,51575	2,69084	0,50858
522,0957	2,34926	0,36573	522,0957	2,41824	0,41933	522,0957	2,6891	0,50478
523,67566	2,34656	0,3644	523,67566	2,41628	0,41692	523,67566	2,68732	0,50107
525,25549	2,34385	0,36313	525,25549	2,41429	0,41457	525,25549	2,68551	0,49744
526,83539	2,34112	0,36191	526,83539	2,41227	0,41227	526,83539	2,68366	0,4939
528,41522	2,33839	0,36074	528,41522	2,41023	0,41003	528,41522	2,68178	0,49045
529,99506	2,33564	0,35962	529,99506	2,40816	0,40784	529,99506	2,67987	0,48708
531,57483	2,33287	0,35855	531,57483	2,40606	0,40571	531,57483	2,67793	0,4838
