Environnement : Air / n = 1 
Cube : Argent / n(lambda) / 70 nm
Gap diélectrique / n = 1.45 / 5 nm
Fonctionnalisation diélectrique / n = 1.45 / 1 nm
Couche métallique : Or / n(lambda) / 20 nm
Substrat : SiO2 / n = 1.5 / 200 nm

Wavelengths (nm) 	 Rd 	 Rd_mol	 Ru 	 Ru_mol 	 Td 	 Td_mol	 Tu 	 Tu_mol 
450.0, 0.17303900986460333	, 0.17109637937260055	, 0.09641275691682903	,0.09564686758021905	,0.3071709556506779	,0.3093739058779292	,0.3071709556500715	,0.3093739058773253
649.367088607595, 0.46112775009999757	, 0.45458070615363955	, 0.42588765331136397	,0.4180633910717369	,0.40508497558957324	,0.41020641724338786	,0.4050849755887251	,0.4102064172426431
662.6582278481012, 0.5002072558537725	, 0.4941071338911258	, 0.4741386977120458	,0.46762353583472255	,0.3766281582719406	,0.3818807907294313	,0.37662815827129975	,0.381880790728976
675.9493670886076, 0.5354355384279091	, 0.5297014012546237	, 0.5137969210190473	,0.508117476247599	,0.3483854006790062	,0.3535692723944711	,0.3483854006795396	,0.35356927239510966
689.2405063291139, 0.5673565511523896	, 0.5618948488141845	, 0.5477734861834829	,0.5427006808997143	,0.32134664475552877	,0.3264529490451525	,0.3213466447564348	,0.32645294904607675
702.5316455696202, 0.5964817333650199	, 0.5912139150199235	, 0.5775028389039925	,0.5729176894563269	,0.2956913752256502	,0.3007600283843491	,0.29569137522615835	,0.30076002838496063
715.8227848101266, 0.6232272665058017	, 0.6180870749998215	, 0.6038421893789967	,0.5996882335724328	,0.27138003329922483	,0.27646743835546744	,0.2713800332978019	,0.27646743835413595
729.1139240506329, 0.6479379147681654	, 0.6428687922413221	, 0.6272609597952006	,0.623518100464577	,0.24827670678217692	,0.2534444855082219	,0.24827670678192565	,0.2534444855081933
742.4050632911392, 0.6708802736447544	, 0.6658318598431316	, 0.6480419613776659	,0.6447213849518139	,0.2262435694260486	,0.23155887530458585	,0.22624356942728185	,0.2315588753058269
755.6962025316456, 0.6922865772419762	, 0.6872161734416149	, 0.6664217392467584	,0.6635779990921639	,0.20513174005419604	,0.21066704208516507	,0.2051317400560465	,0.21066704208683706
768.9873417721519, 0.7123512557520316	, 0.707227265645317	, 0.6824258573342435	,0.6801584237444819	,0.18476546943187822	,0.19059504332752336	,0.1847654694320039	,0.19059504332776284
782.2784810126582, 0.7311994642398306	, 0.7260046750645768	, 0.6959199588204418	,0.6943882118593805	,0.16499709262794582	,0.17119813561921762	,0.16499709262691997	,0.17119813561824138
795.5696202531645, 0.7489006952450448	, 0.7436417898099799	, 0.7067161722188295	,0.7061769747219281	,0.14570379435757552	,0.15235507509853713	,0.1457037943576348	,0.15235507509891233
808.8607594936709, 0.7654734792007609	, 0.7602020075164634	, 0.7144501753432544	,0.7153088767918053	,0.12676055235110967	,0.13393213266795345	,0.1267605523487383	,0.13393213266581386
822.1518987341772, 0.7808002554545501	, 0.7756420162194616	, 0.7183175547237495	,0.7211863689798254	,0.10808714486279158	,0.11582312374004014	,0.10808714486220425	,0.11582312373983557
835.4430379746835, 0.7945738722420385	, 0.789783513591316	, 0.7171210006510547	,0.7229382198051245	,0.08971334203853895	,0.09800129344890965	,0.08971334203796874	,0.09800129344849666
848.7341772151899, 0.8061779398387611	, 0.802233643099042	, 0.7090819441720805	,0.7192906147299406	,0.07184579635750174	,0.0805525588913887	,0.0718457963569571	,0.08055255889079224
862.0253164556962, 0.8145376963683048	, 0.8123097182620619	, 0.6916016851549179	,0.7084253787419765	,0.0550003533139448	,0.06374616319531799	,0.05500035331339033	,0.06374616319487769
875.3164556962025, 0.8177484334885852	, 0.8187693802710322	, 0.660582680861655	,0.6873504402479397	,0.04027963544650239	,0.04819744123158113	,0.040279635446088397	,0.04819744123119887
888.6075949367089, 0.812639747212692	, 0.8194836368458102	, 0.6102927963285137	,0.6517129382966529	,0.02988948748363869	,0.03522700374734713	,0.029889487484870723	,0.035227003748444376
901.8987341772151, 0.7944303901675936	, 0.8110939122729033	, 0.5338883646099511	,0.5957886096775852	,0.027728817571756062	,0.02726954495158252	,0.027728817571188644	,0.02726954495140737
915.1898734177215, 0.7569568222897284	, 0.7885865619272013	, 0.425864263423251	,0.5129198576808339	,0.03986548468139606	,0.02852043605821292	,0.03986548468124247	,0.028520436057610565
928.4810126582279, 0.6958764354971658	, 0.7462805166958062	, 0.2900692065869051	,0.39943747534544527	,0.07311581302818576	,0.04500433651797292	,0.07311581302572019	,0.045004336517024644
941.7721518987341, 0.6156057908928138	, 0.6812796692087086	, 0.1502147672003474	,0.2622260264574845	,0.12964709855669368	,0.08268094127485821	,0.12964709855093837	,0.08268094127056166
955.0632911392405, 0.5351541793261885	, 0.6005201983698324	, 0.04935297618601117	,0.1283949170190772	,0.1992970164487144	,0.14159850981817595	,0.1992970164512039	,0.1415985098199397
