# Created by Octave 6.4.0, Thu Apr 11 16:57:31 2024 CEST <pauline@nanotower>
# name: N
# type: scalar
200


# name: P1
# type: complex matrix
# rows: 84
# columns: 42
 (0.032362286856630063,-0.015298288363111964) (-0.01414566696433283,-0.022752826463015272) (0.0033198811279122882,-0.016874157913169607) (0.027337491727917315,-0.055381006073542273) (0.0039940655170739086,0.023081917301840036) (-0.15844471213989811,0.051269714959450048) (0.055909195362070244,-0.063132583564138159) (0.020343481940817833,0.030114777953795011) (-0.08953244196173625,0.00046940309943012057) (0.0064416089434371718,0.040415619310212626) (-0.073472210278523686,-0.030066794132737457) (0.0090256097371678098,0.048004281767470722) (-0.057568275093613411,-0.051179583214316871) (-0.034439514658200721,-0.053926103152991074) (-0.048196311879098688,-0.0739806210228003) (0.07585797216350576,0.072094055677178859) (0.019671046048173931,-0.10193893170155675) (-0.18216476584486674,-0.068122367156519148) (-0.47377258083931595,0.11329368627687991) (0.49260044685556842,0) (-0.068438537049534814,0.073985556627715804) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.055698227450719048,-0.032182488163323905) (-0.046770462110182848,-0.037998206439829936) (0.022524383336045228,-0.062317937841846666) (0.012633907142302763,-0.094041061824091762) (0.028252379430501105,0.092963949291749615) (-0.15335545254809807,0.10857718774572411) (0.073893322343029533,-0.099175068532385169) (0.086342180557667902,0.098479572757060874) (-0.073621357279817778,0.024690830983041846) (0.047527380920674378,0.12293003204803665) (-0.049334946853151096,-0.021136160432944397) (0.05358229667612685,0.1086130875689362) (-0.010501473366062218,-0.0080722035936772914) (-0.10233487051425202,-0.089537595652570218) (0.027250766657327574,0.01807297478821588) (0.14864294062838379,0.079243446976193482) (0.0098072047067286616,0.14679916889180739) (-0.16872255430765926,-0.018842207216128171) (0.17276445815682107,-0.077168801316327584) (-0.45426547294459879,0.085468628408313096) (0.24136727192345031,-0.42183467483637876) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.054368337896132345,-0.048974634029224431) (-0.081193110903915622,-0.046496762394417954) (0.048240985961437471,-0.14564363261974753) (-0.012380818459398034,-0.073461022541071119) (0.089324399026079693,0.18756231127981512) (-0.10903596878153757,0.18096588528875684) (0.080915788280609871,-0.05016766579345714) (0.16043398737251818,0.14214622909392979) (0.037368675904623151,-0.026030539528769811) (0.089726321066540493,0.13999872988431564) (0.080882116256201314,-0.036964378118999899) (0.057870003586546925,0.061883940722419158) (0.13349025200254602,0.029009208031187433) (-0.032586567928698199,-0.00075370468043483782) (0.17503022823346612,0.10067928857430156) (-0.09705584739010556,-0.054655172128323486) (0.053224441527647243,0.22762956912649326) (0.47910569958741289,0) (-0.028602623920009354,0.01892716314880102) (0.18706232814063731,-0.077492846074536839) (-0.14528426807934008,0.4050349727095866) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (0.01155834644936813,-0.053861251521029045) (-0.092205719551456455,-0.048836596165854382) (0.060728130582941645,-0.25771487610854121) (-0.0085681248455653121,0.033564619353888513) (0.16425779999338103,0.23303105361249926) (-0.025516631443960422,0.22735850026747967) (0.091774673366023421,0.10060062607156903) (0.13516495363734757,0.07295148592766057) (0.13527711807070508,-0.14674282355374157) (0.03378803102014534,-0.010597121002770018) (0.14505396034212648,-0.059755535273016989) (-0.065343408567337016,-0.11063217972272067) (0.090023368111576213,-0.0081121851348603773) (0.18001411683784857,0.11198843619774029) (-0.053526870246097515,-0.030426464570125149) (-0.25269553040563125,-0.069473346890465512) (-0.17618038027669505,-0.4476144468068321) (-0.39402455814655957,0.090294399472543085) (0.0048185677158262665,-0.0024071513128016636) (-0.045203703146972425,0.018157511990745123) (0.025983453963931695,-0.18386282469579363) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.075914448835104578,-0.024956413368433024) (-0.050412840252967633,-0.054385926770553684) (0.042329079912768464,-0.35311798502536107) (0.071703564564854647,0.1935433846916608) (0.16264287860838697,0.15544198506536239) (0.065963472671478493,0.22691061181146924) (0.11563190533165206,0.22861302816653373) (-0.052006973735887446,-0.073391750183333715) (0.034069806910667036,-0.14193134609128608) (-0.09392436181454436,-0.1529716791640722) (-0.073357568214481597,0.023907657854022386) (-0.089712783923486042,-0.105264320513273) (-0.23357469758489913,-0.00988211258034008) (-0.040446443607189408,0.0071077414983622533) (-0.30676707524259622,-0.089165187444114766) (0.46660046083677964,0) (0.20430634551829902,0.29663542134969667) (0.17815067262436118,-0.053817830263426264) (0.0027570871762631032,-0.00015850773409380398) (0.0037460171686740252,-0.01173476707126324) (-0.0073556427645933894,0.06181223131381354) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.18410489484413767,0.05545634038524247) (0.056432315069551056,-0.081987843257484996) (0.0024308287195883016,-0.36103483077438864) (0.21881149954035689,0.29271960191493968) (0.016981722534599966,-0.0027214005156060814) (0.14032639434610333,0.1910123111269359) (0.091422038528639699,0.13131077287208143) (-0.18313691242721442,-0.117745046600889) (-0.16430106151007978,0.11598068018947483) (0.02807121611194191,-0.0054632848044591925) (-0.23228589458379567,0.10704666406969136) (0.22492087604791772,0.11165397865910658) (-0.049681031574908531,-0.010181189655096222) (-0.33130063215478411,-0.024443043919190166) (0.43334949391172606,0) (-0.34286901771743089,0.030154706072627463) (-0.11560207160593033,-0.14920341824681674) (-0.0548966309954457,0.045589642660614035) (0.0032401091540156281,-0.00078721634445623532) (-0.0040969730588209727,-0.0048903165143122261) (-0.0098368612309105465,-0.0050076277525762745) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.26409432856288095,0.1778733331630786) (0.20080652379134969,-0.14497959157386348) (-0.014003971528491761,-0.23667853373127182) (0.31764589257778675,0.21548125974017371) (-0.14477629533584291,-0.077918553157312498) (0.19478796783454941,0.13765257282037829) (-0.026924013675376939,-0.16164369663522077) (0.067074007796197405,-0.024380923964277615) (-0.1180149239359761,0.18658581005081926) (0.31941691447383441,0.15659855281838625) (0.072368863033027822,-0.16696260643076949) (0.10125287623515783,0.023188804541406361) (0.30995692947761311,-0.15975672391268211) (0.41020597661537178,0) (-0.33663362116859397,0.021223912114750165) (0.18183187948783094,-0.071314347462675509) (0.056422036680568138,0.022742990925181259) (0.015126181874084155,0.0018493315482053258) (0.0033934256076976182,-0.0012722113334795763) (-0.0037867867916547581,-0.005371008839324844) (-0.0066065178316735643,0.010984461404653451) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.2673029696793861,0.29151547390900734) (0.314041940346793,-0.22589769700565995) (0.036681579880944976,-0.022035156647409591) (0.22511237862502703,-0.013990607000098014) (-0.045858849158491082,0.00088220069484295019) (0.23312457720585103,0.073109072155937468) (-0.057535084283473988,-0.27781098558725337) (0.42011608318087451,0) (0.024362287722317515,-0.26361358315946032) (0.0023428575993567763,-0.026993155822472581) (0.11027734848380776,-0.18004444167295891) (-0.35656046969356203,-0.091261417694038907) (-0.37727093526681188,0.19338034704207341) (-0.33046952437479854,0.084478833257776803) (0.1526428026476212,-0.075741569301666964) (-0.060407660537224905,0.015458410107257332) (-0.014214560021374965,-0.029099355874747868) (0.0011933722208884679,0.01478423135515777) (0.0034297374951541126,-0.0018763430224601344) (-0.0043589673817786296,-0.0046360711816131172) (-0.0067436242347221568,0.010402239270608864) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.18371903043918497,0.31998364310694533) (0.32105630008745606,-0.26549314080970582) (0.12980756410655836,0.15112111387676935) (-0.034450102315093774,-0.19833220112035371) (0.31221831176494713,0.067781255761400122) (0.24724062818688475,0) (0.21600941591427092,-0.030242916272609846) (0.14538181886388862,-0.025318531837900317) (-0.096582060273048664,-0.28213796420430048) (-0.30490252206193902,-0.072113338114654341) (-0.23013148536937084,0.37346851657787367) (0.43169692556811379,0) (0.20521442977239257,-0.2049172283507463) (0.15550928683164109,-0.045186744805706017) (-0.079952063902210962,0.019337227003627409) (0.019256444070163282,-0.030226614709450601) (0.0012092783107911995,-0.016565560475736377) (0.0055157669224987372,0.01034185815377375) (0.0028170940250551845,-0.002561771306899384) (-0.0048215445046540066,-0.0038864640556815931) (-0.0034906063105183591,0.01147860197890555) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
 (-0.064565397203454777,0.21164229186801881) (0.1963268692787683,-0.19334794222133517) (0.15168174535377155,0.15560094709225719) (-0.19223869566810625,-0.16443647036223932) (0.42853346153847827,0) (0.2163399872461389,-0.061744540244871166) (0.41712642225753727,0.16415619721948779) (-0.38002107284819314,0.094343698622611105) (-0.050641695702819185,0.41019131984024304) (0.44018959564910121,0) (0.016398710302208797,-0.3368176571174652) (-0.21020725450531133,0.020821008321943717) (-0.12767810439038213,0.070053392388388203) (-0.075078999847296685,0.055262779306387955) (-0.0066747072129002723,-0.045446587479939966) (0.0016636895922966313,-0.014491437614700373) (-0.00074785284459982001,-0.029257574015814095) (0.0030378371367556474,0.013154834789922611) (0.0044706417745130215,-0.0030906265022983353) (-0.0042999725978314363,-0.0051151290885113436) (-0.0075706435546892374,0.015942593016949447) (0,-0) (0,0) (0,0) (0,-0) (0,0) (-0,0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (-0,0) (0,-0) (0,0) (0,0) (0,0) (0,-0) (0,-0) (0,0) (0,0)
